Segments
100
,,Stap:segment,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
225,0,54.8586,84.6501,25.7977,-279.784,-818.047,1712.52
226,0,55.6449,83.828,25.6102,-275.411,-814.164,1710.42
227,0,55.7691,83.5314,24.9875,-270.46,-809.736,1708.28
228,0,55.9698,83.2326,24.3469,-264.895,-804.801,1706.05
229,0,56.5485,82.6248,23.8582,-258.742,-799.457,1703.8
230,0,56.5004,82.602,22.8227,-252.013,-793.587,1701.58
231,0,56.7396,82.3224,21.9112,-244.636,-787.194,1699.25
232,0,57.2899,81.7195,21.1501,-236.464,-780.238,1696.87
233,0,57.6214,81.3239,19.8996,-227.769,-772.946,1694.47
234,0,58.318,80.5542,18.8711,-218.225,-765.262,1692.2
235,0,59.2809,79.6113,17.8199,-207.908,-757.396,1690.25
236,0,60.0541,79.1062,16.5815,-196.72,-749.152,1688.61
237,0,60.7261,78.9596,14.9438,-184.719,-740.84,1687.24
238,0,61.0774,79.223,12.8725,-171.945,-732.426,1686.11
239,0,61.8246,78.9926,10.9737,-158.456,-724.024,1685.1
240,0,62.3102,79.1112,8.8341,-144.348,-715.591,1683.94
241,0,62.968,78.7255,6.89186,-129.778,-707.345,1682.84
242,0,63.4783,78.385,4.84555,-114.613,-699.195,1681.73
243,0,64.2448,77.7657,3.19267,-98.8213,-691.261,1680.73
244,0,65.0575,77.3153,1.26474,-82.4695,-683.616,1680.06
245,0,65.8841,77.1278,-0.840953,-65.3916,-676.252,1679.87
246,0,66.7365,77.2858,-3.17774,-47.4599,-669.247,1680.14
247,0,68.0123,77.3013,-5.37487,-28.6119,-662.543,1680.73
248,0,68.9684,78.0317,-8.18573,-9.1703,-656.3,1681.53
249,0,69.7747,79.0666,-11.096,10.9558,-650.368,1682.32
250,0,71.5343,78.7765,-14.0415,30.6059,-645.481,1683.3
251,0,72.5011,79.4714,-17.0856,51.0168,-640.649,1683.98
252,0,72.9872,80.7543,-20.4156,71.5237,-636.392,1684.58
253,0,74.0485,81.1477,-22.9352,92.0681,-632.66,1684.89
254,0,75.3432,80.982,-25.233,112.484,-629.602,1685.15
255,0,76.6146,80.8208,-27.4394,132.828,-627.29,1685.42
256,0,77.9778,80.6063,-29.6269,152.998,-625.691,1685.88
257,0,79.7642,80.0415,-31.3394,173.219,-624.762,1686.58
258,0,81.1603,80.1647,-33.4843,193.543,-624.561,1687.59
259,0,82.6095,80.7782,-35.8052,213.986,-624.99,1688.74
260,0,84.322,81.118,-38.1158,234.654,-626.131,1689.91
261,0,85.5828,82.0258,-40.8475,255.593,-627.956,1691.3
262,0,86.8149,83.4149,-43.8996,275.896,-630.518,1692.35
263,0,87.8997,85.141,-47.1247,295.695,-633.725,1693.38
264,0,88.9948,86.7464,-50.1027,314.975,-637.581,1694.43
265,0,89.828,88.6817,-52.8744,333.837,-641.988,1695.53
266,0,91.1711,90.17,-55.1959,352.084,-646.864,1696.6
267,0,92.9206,90.8667,-57.1289,369.756,-652.121,1697.52
268,0,94.7406,91.5199,-59.0298,386.74,-657.622,1698.11
269,0,96.5141,91.7266,-60.8984,403.08,-663.526,1698.55
270,0,98.0573,92.3902,-62.8735,418.626,-669.592,1698.82
271,0,99.5902,93.0642,-64.7064,433.56,-675.884,1699.11
